objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_prob_1,SG3_prob_2,SG3_prob_3,SG3_prob_4,SG3_lower_bound,SG3_upper_bound,PROBABILITY_FLAG
587729407540265226,15,0.0164,1,0,0.685888,0.22533,0.055424,0.0333581,0.0,2.76995,0
587729407540265237,0,0.4824,4,9,0.00829685,0.0341422,0.212036,0.745525,8.3132,10.0,0
587729407540330681,0,0.616,4,10,0.00616558,0.018655,0.0930536,0.882126,9.0258,10.0,0
587729407540330690,17,0.0159,4,10,0.0732344,0.137221,0.306787,0.482758,7.56902,10.0,0
587729407540330731,7,0.9436,4,10,0.011566,0.0503443,0.254684,0.683406,8.20024,10.0,0
587729407540396187,12,0.9738,4,10,0.0231004,0.0942361,0.333331,0.549333,6.58487,10.0,1
587729407540396265,0,0.9731,4,10,0.0284626,0.0678742,0.202638,0.701025,8.4343,10.0,0
587729407540396273,0,0.0,4,10,0.360311,0.0672288,0.0538593,0.518601,9.24914,10.0,0
587729407540396280,2,0.4574,4,10,0.0172119,0.0371903,0.166451,0.779147,7.41295,10.0,0
587729407540396313,0,0.0035,4,10,0.227263,0.142289,0.143794,0.486654,8.55626,10.0,0
587729407540396321,1,0.3535,4,10,0.0304534,0.0737186,0.26237,0.633458,8.02975,10.0,0
587729407540396326,12,0.4134,4,10,0.0399817,0.127373,0.332927,0.499718,7.56816,10.0,0
587729407540461759,5,0.0355,4,10,0.0431628,0.062017,0.233079,0.661741,8.33118,10.0,0
587729407540461782,0,0.2415,4,10,0.00399077,0.0159069,0.108747,0.871355,8.9928,10.0,0
587729407540461789,0,0.0,4,10,0.380102,0.114946,0.0967354,0.408216,8.7444,10.0,0
587729407540461806,0,0.303,4,10,0.173538,0.140262,0.120074,0.566126,8.70551,10.0,0
587729407540461919,20,0.6316,1,0,0.403964,0.198567,0.200184,0.197285,0.0,3.99207,1
587729407540527181,0,0.5908,4,10,0.273721,0.136678,0.158721,0.430879,8.40011,10.0,0
587729407540527303,9,0.2467,4,10,0.0543372,0.119491,0.297531,0.528641,7.87414,10.0,0
587729407540527327,13,0.0209,4,10,0.0264403,0.071748,0.260322,0.64149,8.21224,10.0,0
587729407540527331,0,0.0,4,10,0.657229,0.0735595,0.0290872,0.240124,8.86109,10.0,0
587729407540527332,0,0.0008,4,10,0.360736,0.128499,0.112528,0.398238,8.58871,10.0,0
587729407540527358,1,0.1859,4,10,0.0446529,0.0864445,0.161593,0.70731,8.75182,10.0,0
587729407540527376,20,0.0138,4,10,0.135107,0.220255,0.31238,0.332258,2.73432,9.24923,0
587729407540527408,0,0.0049,4,10,0.104563,0.198374,0.282474,0.414589,7.54505,10.0,0
587729407540527413,0,0.3848,4,10,0.015855,0.085394,0.0551916,0.843559,9.26441,10.0,0
587729407540592884,0,0.0034,4,10,0.143377,0.125974,0.165079,0.565569,8.59187,10.0,0
587729407540658416,0,0.0569,4,10,0.0200624,0.014579,0.0500453,0.915313,9.25689,10.0,0
587729407540658441,20,0.6829,2,1,0.523283,0.43418,0.0318254,0.0107115,0.315349,10.0,0
587729407540723961,0,0.2452,4,9,0.00752939,0.037567,0.222138,0.732765,7.25024,10.0,0
